'title','author','authorUrl','level'
'How to Make,Mistakes in Python','Mike Pirnat','http://mike.pirnat.com/','Intermediate'
'Functional Programming in Python','David Mertz','http://www.oreilly.com/programming/free/functional-programming-python.csp','Intermediate'
'Picking a Python Version: A Manifesto','David Mertz','http://www.oreilly.com/programming/free/from-future-import-python.csp','Beginner'
'Python para Desenvolvedores (2nd Edition)','Luiz Eduardo Borges','http://ark4n.wordpress.com/python/','Intermediate'
'Intermediate Python','Muhammad Yasoob','http://pythontips.com/','Intermediate'
'How to Think Like a Computer Scientist: Second Interactive Edition','B. Miller & D. Ranum','http://reputablejournal.com','Beginner'
'How to Think Like a Computer Scientist: Learning with Python 2nd Ed.','Jeffrey Elkner...','http://greenteapress.com/','Beginner'
'Problem Solving with Algorithms and Data Structures Using Python','B. Miller & D. Ranum','http://reputablejournal.com/','Intermediate'
'Learn Python The Hard Way','Zed A. Shaw','http://learnpythonthehardway.org/','Beginner'
'Dive into Python (2004)','Mark Pilgrim','http://getpython3.com/diveintopython3/','Intermediate'
'Dive into Python 3','Mark Pilgrim','http://getpython3.com/diveintopython3/','Intermediate'
'Think Python','Allen B. Downey','http://www.greenteapress.com/','Beginner'
'Kivy programming Guide','Kivy','http://kivy.org/','Intermediate'
'Django Tutorial','Community','https://docs.djangoproject.com/en/dev/intro/','Intermediate'
'Pyramid for Humans','Community','http://pyramid.readthedocs.org/en/latest/index.html','Intermediate'
'Flask microframework','Armin Ronacher','http://lucumr.pocoo.org/','Intermediate'
'Making games with Python and Pygame','Al Sweigart','http://inventwithpython.com','Intermediate'
'High Performance Python tutorial','Ian Ozsvald','http://ianozsvald.com/2011/07/25/high-performance-python-tutorial-v0-2-from-europython-2011','Advanced'
'A byte of Python','Swaroop C H','http://www.swaroopch.org/','Beginner'
'Python 101 - Introduction to Python','Dave Kuhlman','http://www.rexx.com/~dkuhlman','Beginner'
'The Standard Python Library','Fredrik Lundh','http://effbot.org/zone/','Intermediate'
'Snake Wrangling for Kids','Jason R. Briggs','http://jasonrbriggs.com','Beginner'
'Programming Computer Vision with Python','Jan Erik Solem','http://www.janeriksolem.net/','Advanced'
'Natural Language Processing with Python','S. Bird, E. Klein...','http://www.nltk.org/','Advanced'
'Think Complexity','Allen B. Downey','http://www.greenteapress.com/','Advanced'
'Think Stats','Allen B. Downey','http://www.greenteapress.com/','Advanced'
'Think Stats 2e','Allen B. Downey','http://www.greenteapress.com/','Advanced'
'Python Module of the week','Doug Hellman','http://www.doughellmann.com/','Intermediate'
'An introduction to Python','John C. Lusth','http://lusth.cs.ua.edu/','Beginner'
'Building skills in Programming','Steven F. Lot','http://www.itmaybeahack.com','Beginner'
'Building skills in Python','Steven F. Lot ','http://www.itmaybeahack.com','Beginner'
'Building skills in OOP','Steven F. Lot ','http://homepage.mac.com/s_lott/','Intermediate'
'Python Scientific lecture notes','By The Community','http://scipy-lectures.github.com/AUTHORS.html','Intermediate'
'Programmez avec Python 2','Gérard Swinnen','http://inforef.be/swi/python.htm','Beginner'
'Programmez avec Python 3','Gérard Swinnen','http://inforef.be/swi/python.htm','Beginner'
'Python for you and me','Kushal Das','http://kushaldas.in','Beginner'
'Python course','Patrick Fuchs','http://www.dsimb.inserm.fr/~fuchs/','Beginner'
'Data Structures and Algorithms with Object-Oriented Design Patterns in Python','Bruno R. Preiss','http://www.brpreiss.com','Intermediate'
'A bit of Python & other things.','Jesse Noller','http://jessenoller.com/','Beginner'
'Python Course','Google','http://developers.google.com','Beginner'
'Porting to Python 3: An in-depth guide','Lennart Regebro','http://regebro.wordpress.com/','Intermediate'
'Non-Programmer''s Tutorial for Python 3','Josh Cogliati and others','http://en.wikibooks.org/wiki/Non-Programmer%27s_Tutorial_for_Python_3','Beginner'
'The Hitchhiker’s Guide to Python!','Kenneth Reitz','http://kennethreitz.com/','Beginner'
'Probabilistic Programming and Bayesian Methods for Hackers: Using Python and PyMC','Cam Davidson-Pilon','http://www.camdp.com','Intermediate'
'web2py Complete Manual','Massimo Di Pierro','http://web2py.com','Intermediate'
'Hacking Secret Ciphers with Python','Al Sweigart','http://coffeeghost.net','Beginner'
'Modeling Creativity','Tom De Smedt','http://www.organisms.be/','Intermediate'
'Test-Driven Development with Python','Harry Percival','http://www.oreillynet.com/pub/au/5721','Intermediate'
'Getting Started with Django','Kenneth Love','http://brack3t.com/','Beginner'
'Python 3x Programming (sample)','Jody S. Ginther','http://www.toonzcat.com/book.html','Beginner'
'Djen of Django','Agiliq','http://agiliq.com/','Intermediate'
'Python para todos','Raúl González Duque','http://mundogeek.net/','Beginner'
'Python in Hydrology','Sat Kumar Tomer','http://civil.iisc.ernet.in/~satkumar/','Beginner'
'A Programmer''s Guide to Data Mining','Ron Zacharski','http://zacharski.org/','Intermediate'
'Invent Your Own Computer Games with Python','Al Sweigart','http://coffeeghost.net','Intermediate'
'Biopython','Various authors','http://biopython.org/wiki/Main_Page','Intermediate'
'Text Processing in Python','David Mertz','http://gnosis.cx/TPiP/','Intermediate'
'How to Tango with Django','Leif Azzopardi','http://leifos.me','Beginner'
'Python Practice Book','Anand Chitipothu.','http://anandology.com/','Beginner'
'Python Cookbook, Third Edition','Various authors','http://chimera.labs.oreilly.com/books/1230000000393','Intermediate'
'Explore Flask','Robert Picard.','http://robert.io','Intermediate'
'Django Girls Tutorial','Community','https://djangogirls.org/','Beginner'
'Algorithmic Problem Solving with Python','John B. Schneider...','http://www.eecs.wsu.edu/~schneidj/','Beginner'
'Make Games with Python','Sean M. Tracey','http://sean.mtracey.org/','Beginner'
'Automate the Boring Stuff with Python ','Al Sweigart','http://inventwithpython.com/blog/author/admin/','Intermediate'
'High Performance Python','Ian Ozsvald','http://ianozsvald.com/','Intermediate'
'Full Stack Python','Matt Makai','http://www.mattmakai.com/','Intermediate'
'What You Need to Know about Python','Pierluigi Riti','https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-python2','Beginner'
'Learning Python','Fabrizio Romano','https://www.packtpub.com/packt/free-ebook/learning-python','Intermediate'
'What You Need to Know about Machine Learning','Gabriel A. Cánepa','https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-machine-learning2','Intermediate'
'Building Machine Learning Systems with Python','Willi Richert, Luis Pedro Coelho','https://www.packtpub.com/packt/free-ebook/python-machine-learning-algorithms','Intermediate'
'Practical Data Analysis','Hector Cuesta','https://www.packtpub.com/packt/free-ebook/practical-data-analysis','Intermediate'
'Raspberry Pi Cookbook for Python Programmers','Tim Cox','https://www.packtpub.com/packt/free-ebook/python-raspberry-pi-cookbook','Intermediate'
'Annotated Algorithms In Python','Massimo Di Pierro','https://twitter.com/mdipierro','Advanced'
'Python for Everybody','Charles R. Severance','http://www.dr-chuck.com/','Beginner'
'20 Python libraries You Aren''t Using (But Should)','Caleb Hattingh','http://www.oreilly.com/pub/au/6789','Intermediate'
'Advanced Machine Learning with Python','John Hearty','https://www.packtpub.com/packt/free-ebook/advanced-python-machine-learning','ADVANCED'
